Jenis_Hewan,Usia,Jenis_Kelamin,Berat_Badan_kg,Gejala_1,Gejala_2,Gejala_3,Gejala_4,Durasi,Nafsu_Makan_Hilang,Muntah,Diare,Batuk,Kesulitan_Bernafas,Pincang,Lesi_Kulit,Keluar_Lendir_Hidung,Keluar_Cairan_Mata,Suhu_Tubuh,Detak_Jantung,Prediksi_Penyakit
Kuda,14,Jantan,500.0,Pincang,Penurunan Berat Badan,Reduced Appetite,Sendi Bengkak,10 hari,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,39.5°C,76,Osteoartritis Kuda
Sapi,7,Betina,590.0,Diare,Dehidrasi,Lesu,Kehilangan Nafsu Makan,6 hari,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,39.3°C,84,Penyakit Johne Sapi
Kelinci,5,Betina,6.8,Lesu,Kehilangan Nafsu Makan,Penurunan Berat Badan,Diare,5 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,39.0°C,150,Stasis Gastrointestinal
Domba,6,Jantan,65.0,Batuk,Kesulitan Bernafas,Keluar Lendir Hidung,Kehilangan Nafsu Makan,4 hari,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.9°C,80,Pasteurelosis
Kambing,3,Betina,70.0,Diare,Dehidrasi,Lesu,Kehilangan Nafsu Makan,5 hari,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,39.4°C,81,Giardiasis
Anjing,7,Betina,15.0,Lesu,Muntah,Kehilangan Nafsu Makan,Diare,4 hari,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,39.1°C,125,Parvovirus Anjing
Kucing,5,Jantan,5.2,Keluar Lendir Hidung,Keluar Cairan Mata,Bersin,Lesu,3 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,38.8°C,140,Kompleks Penyakit Pernapasan Kucing
Kuda,9,Betina,460.0,Pincang,Sendi Bengkak,Kehilangan Nafsu Makan,Mobilitas Berkurang,6 hari,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,39.6°C,78,Penyakit Lyme Kuda
Sapi,6,Jantan,570.0,Batuk,Keluar Lendir Hidung,Kesulitan Bernafas,Demam,5 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,39.4°C,81,Tuberkulosis Sapi
Kelinci,4,Betina,2.1,Bersin,Keluar Lendir Hidung,Penurunan Berat Badan,Lesu,3 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,38.6°C,150,Penyakit Hemoragik Virus Kelinci
Domba,5,Jantan,85.0,Penurunan Berat Badan,Reduced Wool Production,Lesu,Kehilangan Nafsu Makan,7 hari,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,39.2°C,79,Penyakit Mulut dan Kuku
Kambing,7,Betina,65.0,Diare,Dehidrasi,Lesu,Kehilangan Nafsu Makan,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,39.3°C,80,Koksidiosis
Babi,2,Jantan,115.0,Batuk,Keluar Lendir Hidung,Lesu,Demam,4 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,39.8°C,85,Pleuropneumonia Actinobacillus
Anjing,8,Betina,8.0,Lesu,Muntah,Diare,Kehilangan Nafsu Makan,5 hari,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,39.0°C,130,Hepatitis Anjing
Kucing,4,Jantan,4.3,Keluar Lendir Hidung,Keluar Cairan Mata,Bersin,Lesu,3 hari,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,38.7°C,143,Rinotrakeitis Kucing
Kuda,13,Betina,650.0,Pincang,Sendi Bengkak,Demam,Penurunan Berat Badan,8 hari,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,39.5°C,74,Equine Infectious Anemia
Sapi,9,Jantan,600.0,Kesulitan Bernafas,Keluar Lendir Hidung,Batuk,Demam,6 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,39.6°C,80,Penyakit Pernapasan Sapi
Kelinci,3,Jantan,1.9,Bersin,Keluar Cairan Mata,Keluar Lendir Hidung,Lesu,2 hari,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,38.4°C,160,Infeksi Saluran Pernapasan
Domba,6,Betina,78.0,Penurunan Berat Badan,Lesu,Kehilangan Nafsu Makan,Sendi Bengkak,9 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.7°C,76,Scrapie
Kambing,3,Jantan,75.0,Keluar Lendir Hidung,Demam,Penurunan Berat Badan,Kehilangan Nafsu Makan,6 hari,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,39.2°C,82,Penyakit Pernapasan Kambing
Babi,4,Betina,120.0,Muntah,Diare,Kehilangan Nafsu Makan,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,39.6°C,84,Disentri Babi
Anjing,6,Jantan,13.0,Batuk,Kesulitan Bernafas,Keluar Lendir Hidung,Demam,4 hari,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,39.4°C,127,Batuk Kennel
Kucing,5,Betina,4.7,Keluar Cairan Mata,Keluar Lendir Hidung,Bersin,Lesu,5 hari,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,38.6°C,145,Infeksi Pernapasan Kucing
Kuda,11,Jantan,300.0,Pincang,Sendi Bengkak,Kehilangan Nafsu Makan,Penurunan Berat Badan,7 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,39.6°C,80,Osteoartritis Kuda
Sapi,7,Betina,650.0,Batuk,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Demam,5 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,39.4°C,79,Tuberkulosis Sapi
Kelinci,2,Betina,1.4,Bersin,Keluar Lendir Hidung,Lesu,Kehilangan Nafsu Makan,3 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,38.8°C,155,Infeksi Saluran Pernapasan Atas
Domba,8,Jantan,95.0,Lesu,Sendi Bengkak,Demam,Kehilangan Nafsu Makan,6 hari,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,39.9°C,75,Busuk Kuku
Kambing,5,Betina,72.0,Diare,Kehilangan Nafsu Makan,Lesu,Dehidrasi,7 hari,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,39.2°C,82,Infeksi Gastrointestinal
Babi,3,Jantan,110.0,Demam,Batuk,Keluar Lendir Hidung,Penurunan Berat Badan,6 hari,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,39.8°C,87,Pleuropneumonia Actinobacillus
Anjing,7,Jantan,30.0,Muntah,Diare,Kehilangan Nafsu Makan,Lesu,6 hari,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,39.5°C,118,Parvovirus Anjing
Kucing,4,Jantan,5.2,Muntah,Diare,Kehilangan Nafsu Makan,Lesu,5 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,39.1°C,148,Peritonitis Infeksius Kucing
Kuda,15,Betina,700.0,Sendi Bengkak,Pincang,Penurunan Berat Badan,Lesu,8 hari,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,39.5°C,77,Sindrom Metabolik Kuda
Sapi,8,Jantan,580.0,Kehilangan Nafsu Makan,Penurunan Berat Badan,Demam,Lesu,6 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,39.3°C,80,Penyakit Johne Sapi
Kelinci,1,Betina,1.2,Keluar Lendir Hidung,Lesu,Kehilangan Nafsu Makan,Bersin,2 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,38.7°C,165,Pasteurelosis
Anjing,5,Betina,42.0,Lesu,Muntah,Kehilangan Nafsu Makan,Batuk,4 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,39.2°C,120,Parvovirus Anjing
Kucing,3,Jantan,5.5,Keluar Lendir Hidung,Batuk,Bersin,Lesu,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,38.9°C,140,Calicivirus Kucing
Kuda,7,Betina,480.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,6 hari,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,39.6°C,75,Influenza Kuda
Sapi,6,Jantan,550.0,Batuk,Keluar Lendir Hidung,Demam,Penurunan Berat Badan,7 hari,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,39.4°C,82,Penyakit Pernapasan Sapi
Kelinci,2,Jantan,1.6,Keluar Lendir Hidung,Bersin,Lesu,Kehilangan Nafsu Makan,3 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,38.5°C,150,Penyakit Hemoragik Kelinci
Domba,4,Betina,85.0,Pincang,Sendi Bengkak,Kehilangan Nafsu Makan,Diare,5 hari,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.3°C,76,Virus Lidah Biru
Kambing,5,Jantan,72.0,Muntah,Diare,Demam,Kehilangan Nafsu Makan,6 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.0°C,81,Artritis Ensefalitis Kaprin
Babi,3,Betina,100.0,Batuk,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Lesu,4 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,39.5°C,88,Influenza Babi
Anjing,6,Jantan,40.0,Muntah,Lesu,Kehilangan Nafsu Makan,Batuk,5 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.3°C,119,Distemper Anjing
Kucing,4,Betina,4.2,Keluar Lendir Hidung,Lesu,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,38.8°C,145,Virus Leukemia Kucing
Kuda,9,Jantan,530.0,Pincang,Batuk,Kehilangan Nafsu Makan,Swollen Legs,7 hari,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,39.7°C,77,Equine Infectious Anemia
Sapi,5,Betina,620.0,Lesu,Batuk,Keluar Lendir Hidung,Demam,4 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,39.6°C,81,Tuberkulosis Sapi
Kelinci,1,Betina,1.2,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Lesu,Bersin,2 hari,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,38.7°C,155,Miksomatosis
Domba,6,Jantan,90.0,Sendi Bengkak,Kehilangan Nafsu Makan,Lesu,Batuk,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,39.4°C,78,Limfadenitis Kaseosa
Kambing,3,Betina,70.0,Demam,Muntah,Diare,Kehilangan Nafsu Makan,5 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,39.5°C,80,Pleuropneumonia Kambing
Babi,5,Jantan,120.0,Batuk,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Lesu,6 hari,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,39.2°C,85,Pleuropneumonia Actinobacillus
Anjing,4,Betina,35.0,Lesu,Muntah,Kehilangan Nafsu Makan,Batuk,3 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,39.0°C,125,Leptospirosis
Kucing,5,Jantan,5.0,Keluar Cairan Mata,Keluar Lendir Hidung,Bersin,Lesu,4 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,38.9°C,148,Herpesvirus Kucing
Kuda,12,Jantan,550.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,5 hari,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,39.6°C,80,Laminitis Kuda
Sapi,7,Betina,580.0,Kehilangan Nafsu Makan,Demam,Batuk,Lesu,6 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,39.5°C,80,Penyakit Johne Sapi
Kelinci,3,Jantan,1.3,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,38.6°C,160,Sifilis Kelinci
Domba,5,Jantan,90.0,Lesu,Keluar Lendir Hidung,Sendi Bengkak,Kehilangan Nafsu Makan,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,39.7°C,74,Klamidia pada Domba
Kambing,6,Betina,60.0,Muntah,Demam,Kehilangan Nafsu Makan,Lesu,5 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,39.3°C,82,Penyakit Pernapasan Kambing
Babi,3,Jantan,105.0,Muntah,Demam,Kehilangan Nafsu Makan,Lesu,5 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,39.0°C,84,Actinobacillus Suis
Anjing,5,Betina,20.0,Muntah,Lesu,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,39.2°C,123,Leptospirosis Anjing
Kucing,4,Jantan,4.8,Batuk,Kehilangan Nafsu Makan,Demam,Lesu,5 hari,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,38.8°C,147,Klamidia Kucing
Kuda,6,Betina,500.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Batuk,6 hari,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.4°C,79,Virus West Nile Kuda
Sapi,5,Betina,500.0,Batuk,Keluar Lendir Hidung,Lesu,Demam,5 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,39.5°C,81,Diare Virus Sapi
Kelinci,2,Jantan,1.5,Bersin,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Demam,3 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,38.9°C,153,Miksomatosis
Anjing,4,Betina,45.0,Lesu,Kehilangan Nafsu Makan,Batuk,Demam,5 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,39.4°C,120,Parvovirus Anjing
Kucing,3,Jantan,7.5,Lesu,Muntah,Kehilangan Nafsu Makan,Diare,4 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,39.1°C,148,Peritonitis Infeksius Kucing
Kuda,9,Jantan,850.0,Pincang,Batuk,Kehilangan Nafsu Makan,Demam,6 hari,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,39.2°C,79,Rinoneumonitis Kuda
Sapi,5,Betina,620.0,Batuk,Demam,Kehilangan Nafsu Makan,Lesu,7 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.3°C,82,Virus Sinsitial Pernapasan Sapi
Kelinci,2,Betina,1.3,Bersin,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Demam,3 hari,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,38.8°C,155,Sifilis Kelinci
Domba,4,Jantan,70.0,Batuk,Lesu,Kehilangan Nafsu Makan,Sendi Bengkak,5 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,39.0°C,75,Scrapie
Kambing,5,Betina,65.0,Muntah,Demam,Diare,Kehilangan Nafsu Makan,6 hari,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,39.4°C,80,Pleuropneumonia Kambing
Babi,3,Jantan,100.0,Batuk,Lesu,Keluar Lendir Hidung,Kehilangan Nafsu Makan,4 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,39.6°C,85,Diare Epidemik Babi
Anjing,6,Jantan,25.0,Lesu,Kehilangan Nafsu Makan,Batuk,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.3°C,110,Distemper Anjing
Kucing,3,Betina,4.8,Keluar Lendir Hidung,Batuk,Kehilangan Nafsu Makan,Lesu,4 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,38.9°C,145,Virus Leukemia Kucing
Kuda,8,Betina,300.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,39.5°C,76,Herpesvirus Kuda
Sapi,7,Jantan,590.0,Batuk,Lesu,Kehilangan Nafsu Makan,Swollen Legs,6 hari,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,39.1°C,78,Tuberkulosis Sapi
Kelinci,1,Betina,1.1,Bersin,Kehilangan Nafsu Makan,Demam,Keluar Lendir Hidung,2 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,38.7°C,160,Miksomatosis
Domba,6,Jantan,95.0,Sendi Bengkak,Kehilangan Nafsu Makan,Batuk,Lesu,5 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,39.4°C,74,Klamidia pada Domba
Kambing,2,Betina,55.0,Muntah,Demam,Kehilangan Nafsu Makan,Lesu,4 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,39.2°C,82,Artritis Ensefalitis Kaprin
Babi,6,Betina,115.0,Batuk,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Lesu,7 hari,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,39.7°C,83,Influenza Babi
Anjing,7,Jantan,33.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,5 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,39.2°C,118,Leptospirosis Anjing
Kucing,4,Jantan,4.3,Keluar Lendir Hidung,Batuk,Kehilangan Nafsu Makan,Lesu,3 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,39.0°C,150,Calicivirus Kucing
Kuda,5,Betina,400.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,4 hari,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,39.4°C,78,Influenza Kuda
Sapi,6,Betina,620.0,Batuk,Demam,Kehilangan Nafsu Makan,Lesu,5 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,39.2°C,80,Penyakit Pernapasan Sapi
Kelinci,2,Jantan,1.2,Bersin,Kehilangan Nafsu Makan,Demam,Keluar Lendir Hidung,4 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,38.8°C,154,Penyakit Hemoragik Kelinci
Domba,3,Jantan,75.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,39.1°C,77,Penyakit Mulut dan Kuku
Kambing,5,Betina,60.0,Muntah,Diare,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,39.6°C,81,Pleuropneumonia Kambing
Babi,4,Jantan,95.0,Batuk,Kehilangan Nafsu Makan,Lesu,Keluar Lendir Hidung,3 hari,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,39.2°C,88,Sindrom Reproduksi dan Pernapasan Babi
Anjing,5,Betina,18.0,Lesu,Batuk,Kehilangan Nafsu Makan,Demam,5 hari,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,39.3°C,115,Batuk Kennel
Kucing,6,Jantan,5.5,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.0°C,149,Peritonitis Infeksius Kucing
Kuda,8,Betina,550.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,5 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,39.2°C,77,Herpesvirus Kuda
Sapi,4,Jantan,630.0,Batuk,Lesu,Kehilangan Nafsu Makan,Swollen Legs,6 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,39.1°C,79,Tuberkulosis Sapi
Anjing,4,Betina,15.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.2°C,125,Influenza Anjing
Kucing,3,Jantan,5.0,Keluar Lendir Hidung,Batuk,Kehilangan Nafsu Makan,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,39.0°C,140,Calicivirus Kucing
Kuda,7,Betina,500.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,6 hari,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,39.3°C,85,Mieloensefalitis Protozoa Kuda
Sapi,5,Jantan,560.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,39.1°C,79,Tuberkulosis Sapi
Kelinci,2,Jantan,1.2,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,3 hari,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,38.7°C,155,Penyakit Hemoragik Kelinci
Domba,5,Betina,90.0,Batuk,Lesu,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,39.2°C,72,Penyakit Mulut dan Kuku
Kambing,6,Jantan,70.0,Muntah,Diare,Kehilangan Nafsu Makan,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,39.4°C,80,Artritis Ensefalitis Kaprin
Babi,4,Betina,105.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Lesu,3 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,39.5°C,83,Kompleks Penyakit Pernapasan Babi
Anjing,3,Jantan,6.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,2 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,39.0°C,118,Parvovirus Anjing
Kucing,5,Betina,4.7,Keluar Lendir Hidung,Batuk,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,38.9°C,150,Peritonitis Infeksius Kucing
Kuda,8,Jantan,550.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,7 hari,Tidak,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,39.1°C,87,Influenza Kuda
Sapi,4,Jantan,650.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,39.3°C,78,Virus Sinsitial Pernapasan Sapi
Kelinci,1,Betina,1.0,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,3 hari,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,38.8°C,158,Miksomatosis
Domba,5,Jantan,80.0,Sendi Bengkak,Batuk,Kehilangan Nafsu Makan,Lesu,4 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,39.4°C,75,Scrapie
Kambing,6,Betina,60.0,Muntah,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,39.6°C,83,Pleuropneumonia Kambing
Babi,4,Jantan,100.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,39.2°C,87,Diare Epidemik Babi
Anjing,5,Betina,40.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,39.3°C,122,Distemper Anjing
Kucing,3,Jantan,4.6,Keluar Lendir Hidung,Batuk,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,39.0°C,142,Virus Leukemia Kucing
Kuda,6,Betina,600.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,39.4°C,82,Rinoneumonitis Kuda
Sapi,3,Jantan,450.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,39.3°C,79,Diare Virus Sapi
Kelinci,1,Jantan,1.0,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,3 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,38.9°C,153,Sifilis Kelinci
Domba,4,Betina,95.0,Sendi Bengkak,Batuk,Kehilangan Nafsu Makan,Lesu,5 hari,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,39.1°C,76,Penyakit Lidah Biru
Kambing,5,Jantan,72.0,Muntah,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,39.5°C,80,Pleuropneumonia Kambing
Babi,3,Betina,105.0,Batuk,Kehilangan Nafsu Makan,Lesu,Keluar Lendir Hidung,5 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,39.2°C,86,Kompleks Penyakit Pernapasan Babi
Anjing,7,Jantan,30.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,39.0°C,130,Distemper Anjing
Kucing,6,Betina,4.2,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.1°C,148,Coronavirus Kucing
Kuda,6,Jantan,650.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,39.4°C,80,Influenza Kuda
Sapi,3,Jantan,700.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,39.2°C,77,Tuberkulosis Sapi
Anjing,3,Betina,20.0,Muntah,Diare,Lesu,Demam,4 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,39.0°C,120,Parvovirus
Kucing,5,Jantan,8.5,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,3 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,39.1°C,145,Infeksi Saluran Pernapasan Atas Kucing
